"HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","WIN"
"PHX",106.5,59.5,31.0,25.0,9.0,17.5,22.0,10.5,34.5,19.0,3.5,10.5,4.0,23.0,"SAS",89.0,53.0,24.0,25.0,8.0,17.0,23.0,5.0,40.0,20.0,3.0,12.0,3.0,25.0,1
"SAC",90.0,65.5,25.5,14.0,3.5,28.5,35.0,14.5,35.0,13.5,8.5,18.0,2.5,25.0,"POR",94.0,57.0,25.0,26.0,9.0,17.0,19.0,10.0,28.0,20.0,5.0,10.0,8.0,26.0,0
"ATL",102.0,49.0,28.0,20.0,7.0,25.0,33.0,3.0,34.0,26.0,10.0,12.0,6.0,20.0,"IND",92.0,49.0,19.0,32.0,12.0,18.0,21.0,11.0,33.0,25.0,5.0,18.0,5.0,26.0,1
"CHA",88.5,69.0,28.5,17.5,5.0,16.5,23.5,10.0,37.0,22.0,9.0,15.0,6.5,18.0,"MEM",84.0,64.5,27.0,15.0,5.0,15.0,20.0,10.0,32.5,18.0,9.5,13.5,1.0,21.5,1
"DET",90.0,59.0,31.0,17.0,1.0,25.0,35.0,10.0,31.0,21.0,3.0,7.0,3.0,15.0,"BKN",103.5,61.0,33.5,22.5,7.0,15.5,19.5,10.5,33.0,19.0,4.5,14.0,5.0,22.0,0
"GSW",127.0,60.0,35.0,23.0,11.0,24.0,28.0,12.0,31.0,30.0,10.0,20.0,4.0,26.0,"LAL",101.5,73.5,35.0,13.5,4.0,19.5,25.0,14.5,23.0,20.5,9.0,17.5,3.0,22.5,1
"HOU",104.0,42.0,20.0,34.0,12.0,28.0,40.0,10.0,39.0,20.0,9.0,17.0,8.0,24.0,"BOS",90.0,73.0,36.0,25.0,1.0,15.0,18.0,14.0,30.0,20.0,10.0,10.0,8.0,26.0,1
"MIN",101.0,69.5,33.5,11.0,4.0,22.0,29.5,11.5,31.0,22.0,8.5,11.0,3.5,25.0,"CHI",105.0,46.5,26.5,23.5,8.0,28.0,35.0,7.5,35.0,18.0,6.0,14.5,6.0,21.0,0
"NOP",102.5,77.0,34.0,18.0,5.5,18.0,29.5,20.0,34.5,22.0,9.0,11.0,10.5,18.0,"DAL",104.5,60.5,35.0,23.0,7.0,13.5,19.0,10.0,28.5,21.0,6.5,11.0,4.5,22.5,0
"OKC",102.0,60.0,31.0,20.0,6.0,22.0,31.0,6.0,35.0,24.0,8.0,13.0,6.0,20.0,"DEN",91.0,54.0,28.0,26.0,7.0,14.0,20.0,11.0,30.0,19.0,4.0,17.0,10.0,26.0,1
"ORL",96.5,59.0,31.0,17.5,6.5,15.0,24.0,6.0,30.5,22.5,3.5,16.0,4.0,30.0,"TOR",108.0,62.0,29.0,21.0,4.0,38.0,48.0,15.0,35.0,13.0,4.0,7.0,4.0,21.0,0
"PHI",96.0,44.0,28.0,23.0,7.0,19.0,26.0,4.0,33.0,28.0,9.0,24.0,10.0,21.0,"MIA",114.0,59.0,29.0,24.0,12.0,20.0,29.0,9.0,26.0,33.0,16.0,16.0,0.0,20.0,0
"UTA",105.5,62.5,35.0,22.0,5.0,20.5,25.0,13.0,30.0,17.5,9.0,13.0,6.0,15.5,"PHX",91.0,56.0,29.0,31.0,7.0,12.0,15.0,6.0,28.0,17.0,8.0,11.0,7.0,22.0,1
"WAS",108.0,60.0,36.0,13.0,4.0,24.0,33.0,6.0,28.0,28.0,18.0,19.0,5.0,21.0,"MIL",101.5,62.0,28.5,18.0,8.0,20.5,24.0,9.5,29.0,21.5,10.0,20.5,6.5,26.5,1
"LAC",92.5,57.0,25.5,30.5,8.0,17.5,23.0,12.5,21.5,20.0,10.0,9.5,5.5,26.0,"SAC",98.0,58.0,31.0,10.0,3.0,27.0,33.0,9.0,37.0,21.0,4.0,19.0,11.0,22.0,0
"MIA",107.0,49.5,28.0,26.0,9.0,24.0,30.5,11.5,32.0,21.0,7.5,15.0,4.5,23.0,"TOR",105.0,62.5,31.0,18.5,4.0,31.0,43.5,12.0,27.0,12.0,6.0,8.5,4.5,24.5,1
"NYK",88.0,65.0,29.5,16.5,5.5,12.5,17.0,11.0,25.5,21.0,7.0,11.5,2.5,24.0,"CHA",93.0,55.0,27.0,15.0,6.0,21.0,29.0,8.0,30.0,20.0,7.0,12.0,2.0,16.0,0
"POR",98.0,61.5,29.0,28.0,9.0,13.0,18.0,15.0,34.0,21.5,6.5,14.5,5.5,19.0,"GSW",95.0,55.0,28.5,23.0,6.0,20.0,26.5,7.0,35.5,21.5,11.5,19.5,7.5,24.0,1
"BKN",116.0,61.0,33.0,23.0,11.0,17.0,19.0,9.0,33.0,25.0,11.0,8.0,3.0,21.0,"OKC",88.0,56.0,25.66666,20.0,5.333333,20.66666,27.0,12.33333,32.33333,18.66666,5.666666,17.33333,3.333333,24.0,1
"DAL",119.0,60.5,34.5,23.0,11.0,17.0,21.5,10.0,30.0,24.5,6.5,13.0,7.0,16.0,"BOS",101.5,72.0,35.0,28.0,6.0,13.5,17.0,18.0,28.5,24.5,9.5,13.5,7.0,23.5,1
"DEN",97.0,65.0,27.5,24.0,5.5,25.5,32.0,14.5,32.0,19.5,5.5,15.0,5.5,28.0,"SAC",104.0,65.0,31.5,9.5,2.5,33.5,40.0,11.5,36.5,21.0,6.0,17.0,8.0,25.0,0
"LAC",97.33333,57.33333,27.33333,28.0,8.666666,16.66666,21.0,10.0,24.33333,22.66666,8.666666,9.666666,5.666666,23.0,"UTA",101.5,49.0,24.0,31.0,12.0,17.5,21.0,12.0,29.5,23.0,5.0,16.5,1.0,20.5,0
"MEM",99.0,64.5,33.0,14.5,4.0,21.0,28.5,9.5,33.0,20.0,7.5,14.0,5.5,22.5,"NOP",81.0,62.0,25.0,24.0,4.0,19.0,29.0,14.0,35.0,14.0,5.0,12.0,3.0,30.0,1
"PHI",94.5,48.0,25.0,22.5,9.0,17.5,24.5,5.0,29.0,23.5,10.5,20.5,7.0,20.5,"HOU",105.3333,45.0,20.33333,30.0,14.0,22.66666,31.33333,11.66666,31.33333,22.33333,8.666666,17.33333,5.0,24.33333,0
"CHI",103.0,59.5,28.0,23.0,10.0,17.0,22.0,10.5,32.5,24.0,5.0,15.5,11.5,23.0,"ORL",87.0,73.5,30.0,12.5,5.0,12.0,17.5,15.0,37.0,19.0,5.5,14.5,7.5,23.5,1
"IND",91.0,54.33333,27.0,23.33333,7.333333,15.0,22.0,13.33333,34.33333,18.33333,4.666666,17.33333,8.333333,18.66666,"MIL",96.66666,62.0,29.0,19.0,7.666666,15.66666,18.33333,9.333333,29.33333,21.0,10.66666,17.66666,6.0,25.0,0
"LAL",102.3333,67.66666,29.66666,15.33333,5.333333,27.0,36.0,12.66666,29.0,18.66666,6.333333,12.33333,4.333333,30.66666,"PHX",101.5,64.5,32.0,24.5,6.5,18.0,23.0,9.5,33.5,22.5,7.0,12.0,7.0,25.5,1
"MIA",101.6666,48.33333,25.0,26.66666,10.0,21.66666,29.33333,12.0,28.33333,19.33333,7.333333,15.0,3.666666,22.33333,"HOU",106.0,41.5,19.75,31.75,14.75,22.25,30.25,11.0,30.75,22.25,8.5,17.0,5.0,24.75,0
"NOP",101.6666,72.33333,33.66666,18.0,5.333333,18.33333,26.0,17.0,35.0,23.33333,7.666666,11.33333,9.0,18.33333,"CHA",92.0,57.0,29.0,18.0,6.0,16.0,21.0,7.0,29.0,21.5,6.5,12.0,1.5,15.5,1
"NYK",86.33333,65.33333,27.0,16.0,6.333333,13.33333,17.66666,12.33333,26.33333,19.33333,6.333333,13.66666,3.0,23.66666,"WAS",99.33333,61.66666,31.0,16.66666,7.0,16.33333,23.0,7.666666,30.33333,22.66666,8.333333,12.66666,2.0,23.33333,0
"POR",99.0,57.66666,29.0,27.0,8.666666,15.0,20.33333,13.0,35.66666,21.33333,6.666666,13.33333,5.0,19.33333,"CLE",98.0,76.5,30.0,18.0,6.0,20.0,23.5,16.5,30.0,18.0,6.5,11.5,3.5,18.5,1
"TOR",104.5,57.0,26.5,28.5,8.0,27.5,33.0,14.0,29.5,24.5,9.5,9.5,6.0,23.0,"OKC",88.0,53.0,26.25,20.25,5.5,19.0,26.5,10.75,33.0,19.75,5.25,17.75,3.25,24.75,1
"BOS",114.0,59.0,35.5,24.0,9.0,16.0,20.5,13.0,32.0,25.0,8.0,19.5,4.0,25.0,"TOR",106.6666,65.33333,32.33333,17.66666,5.0,27.0,36.66666,10.0,24.0,14.0,7.666666,8.0,4.333333,22.33333,1
"BKN",103.5,61.0,30.5,22.0,9.5,14.0,18.0,8.0,34.0,21.0,8.5,13.0,4.0,21.5,"MIN",99.5,73.5,31.5,14.5,6.5,17.0,22.5,16.0,33.0,21.0,8.5,17.0,4.0,21.0,1
"CHA",91.0,67.33333,29.0,17.66666,5.0,18.0,25.33333,11.0,36.66666,22.33333,7.333333,14.0,7.333333,20.0,"MIA",101.5,57.0,27.5,23.0,8.0,22.5,30.0,7.5,28.0,26.0,11.0,12.0,2.0,22.5,0
"DET",94.0,61.5,26.0,20.0,6.0,24.0,34.0,14.5,33.5,19.0,4.0,7.5,3.5,15.5,"NYK",95.0,63.5,30.5,16.0,7.5,11.5,14.0,10.0,29.0,27.5,6.0,12.0,5.0,24.5,0
"GSW",124.0,54.5,31.5,24.0,13.0,22.0,24.0,8.0,33.0,29.5,8.5,21.5,3.5,24.0,"LAC",111.0,50.5,26.5,26.0,9.5,29.5,35.5,5.5,27.5,25.5,9.0,14.0,2.0,20.0,1
"MIL",89.5,69.0,28.5,19.5,6.0,14.5,20.5,16.5,36.0,22.0,10.0,16.0,7.0,23.5,"CHI",101.6666,50.0,27.33333,21.0,7.0,26.0,33.33333,7.333333,35.0,20.0,6.666666,15.0,5.0,20.0,0
"PHI",92.66666,49.33333,25.0,23.33333,8.666666,16.66666,24.0,5.333333,30.0,23.0,11.0,20.33333,8.666666,19.66666,"ORL",88.33333,71.66666,32.0,15.0,4.333333,11.33333,15.66666,14.66666,37.0,17.33333,7.333333,17.66666,6.0,22.33333,1
"PHX",101.3333,55.66666,28.66666,23.66666,8.666666,18.0,21.66666,8.666666,33.0,17.0,6.0,13.0,4.0,22.0,"MEM",90.0,64.0,28.33333,15.66666,6.333333,14.33333,19.0,9.333333,31.33333,20.33333,9.666666,14.33333,1.0,21.33333,1
"SAC",103.6666,62.33333,28.33333,16.0,5.0,32.0,40.0,12.66666,33.66666,16.0,8.333333,16.33333,2.666666,26.66666,"DEN",100.0,54.0,28.0,27.0,8.0,20.0,25.5,9.0,27.5,21.5,4.0,15.5,7.5,31.5,1
"SAS",97.5,47.0,24.5,22.5,9.5,20.0,27.0,10.0,34.0,24.0,6.0,19.5,6.0,17.5,"ATL",97.0,62.5,28.5,23.5,10.5,8.5,14.0,10.0,29.5,26.0,10.0,15.0,6.5,24.5,1
"UTA",104.3333,60.33333,34.0,21.66666,5.666666,19.33333,24.0,13.0,29.33333,20.33333,7.0,12.66666,6.666666,19.0,"CLE",98.66666,69.66666,28.0,17.33333,6.0,24.66666,29.0,13.33333,27.66666,14.0,7.0,11.66666,3.666666,19.66666,1
"WAS",102.0,67.0,31.5,15.0,5.5,22.5,28.0,6.5,32.0,26.0,12.5,15.5,6.0,21.5,"IND",93.0,56.0,23.0,29.5,10.0,17.0,20.5,12.5,38.0,23.5,4.0,18.0,7.0,26.5,1
"HOU",101.0,43.5,22.0,30.5,11.0,24.0,36.5,9.0,37.5,19.0,8.0,19.0,7.0,22.0,"SAS",85.0,61.5,26.5,22.5,5.0,17.0,21.0,8.5,34.5,18.5,7.5,13.0,2.0,24.5,1
"POR",101.25,55.0,28.75,27.75,9.5,15.25,20.0,12.75,37.0,22.25,5.75,14.25,5.25,19.75,"DAL",98.66666,62.66666,32.66666,23.0,6.333333,14.33333,18.0,9.333333,27.66666,18.66666,6.333333,9.666666,4.333333,20.66666,1
"BOS",109.6666,58.66666,33.66666,25.0,9.0,15.33333,19.0,11.66666,31.0,25.33333,7.333333,17.0,3.666666,23.0,"IND",94.66666,60.33333,27.0,26.0,8.333333,15.66666,18.0,13.0,34.66666,21.66666,3.333333,16.33333,6.666666,23.33333,1
"BKN",105.6666,57.33333,28.33333,22.66666,11.0,16.0,20.66666,7.666666,34.33333,20.0,7.666666,14.0,4.666666,22.33333,"NYK",96.33333,66.0,30.0,17.0,7.666666,13.33333,16.33333,11.66666,28.66666,25.66666,6.333333,12.66666,4.0,24.33333,1
"CHA",98.75,69.5,32.25,18.5,5.25,18.5,25.75,11.0,37.5,24.5,7.0,15.25,7.25,22.5,"ATL",104.3333,61.66666,29.0,26.66666,11.33333,12.33333,18.0,9.0,30.0,26.66666,9.333333,16.33333,5.333333,27.33333,0
"DEN",98.33333,62.0,28.0,25.66666,7.333333,20.33333,26.33333,12.33333,32.66666,20.33333,5.333333,14.33333,5.333333,26.0,"CLE",101.5,67.5,29.5,18.75,6.0,24.5,30.0,11.5,29.75,16.75,6.5,10.75,3.5,18.25,0
"DET",95.33333,58.33333,26.0,21.0,7.666666,20.33333,30.66666,13.66666,31.66666,18.66666,5.0,11.0,4.0,18.33333,"MIL",96.25,60.75,29.5,19.25,7.0,16.25,19.5,9.25,28.5,22.25,10.5,16.5,6.0,23.5,0
"OKC",95.5,57.0,28.0,22.5,9.0,12.5,21.0,8.0,34.5,20.0,5.5,15.0,3.5,19.0,"MEM",90.25,63.75,27.5,16.25,7.0,14.25,18.5,9.25,30.75,20.5,9.75,12.75,1.75,19.5,1
"ORL",101.6666,66.33333,34.33333,15.0,6.0,15.0,22.33333,8.0,33.66666,21.33333,4.0,17.66666,4.666666,29.0,"MIN",100.6666,74.0,33.0,15.66666,5.666666,17.66666,23.33333,13.66666,31.66666,22.0,8.666666,15.33333,5.0,21.33333,1
"PHI",98.25,52.25,26.5,25.0,9.5,16.75,24.25,8.25,28.75,24.5,10.0,18.25,7.0,22.0,"CHI",105.75,51.0,27.5,21.75,8.25,26.0,33.5,8.5,33.25,21.25,6.0,15.5,5.25,20.25,0
"PHX",104.0,58.5,29.5,25.5,9.0,18.0,22.5,8.75,33.0,17.5,6.25,12.75,4.75,24.75,"SAC",107.3333,68.33333,33.0,11.66666,2.666666,33.33333,39.66666,12.0,40.0,19.33333,6.0,16.33333,6.666666,25.66666,0
"TOR",104.0,57.33333,26.33333,26.33333,8.333333,26.33333,32.33333,12.66666,32.66666,22.66666,8.0,10.66666,5.0,24.33333,"WAS",95.5,62.25,30.0,17.25,6.0,17.5,25.25,9.75,31.25,21.75,8.0,12.75,2.75,24.75,1
"UTA",98.75,55.25,30.5,23.25,6.5,18.25,22.75,12.0,30.0,20.0,6.25,14.75,6.5,18.5,"DAL",100.25,63.0,32.75,23.25,7.0,13.75,17.0,10.25,28.0,19.75,7.75,9.25,4.0,21.0,0
"ATL",102.5,54.0,26.0,21.0,8.0,26.5,34.5,7.5,31.5,22.0,10.0,10.0,5.5,18.5,"NYK",96.25,65.25,30.5,18.0,7.75,12.0,15.0,12.0,29.25,25.75,5.25,13.25,4.5,25.5,1
"CHI",102.3333,64.33333,30.0,21.33333,9.333333,14.33333,19.66666,10.66666,30.66666,24.66666,5.0,13.0,8.333333,20.66666,"BOS",103.0,68.66666,35.0,25.0,6.333333,14.0,18.0,14.33333,31.66666,24.66666,8.333333,13.0,5.666666,21.33333,0
"HOU",96.33333,43.66666,21.33333,34.33333,10.66666,21.66666,31.33333,11.33333,35.0,17.0,10.0,20.0,4.666666,20.33333,"GSW",96.0,56.33333,29.0,24.66666,7.0,17.0,23.33333,9.666666,36.66666,21.66666,11.33333,21.66666,7.666666,22.33333,1
"IND",90.75,54.0,26.5,23.5,7.5,15.25,22.75,12.0,33.25,16.5,4.75,17.5,7.0,20.0,"WAS",95.8,63.8,31.4,16.0,5.2,17.4,24.8,10.4,32.2,22.0,8.0,13.0,3.0,24.8,0
"LAC",99.5,60.25,29.25,24.0,7.75,17.75,23.25,9.5,25.5,21.25,8.5,9.0,5.25,22.0,"POR",98.0,56.0,25.5,25.5,9.5,18.5,22.0,9.5,31.0,22.5,3.5,13.0,5.5,26.0,1
"MIA",101.75,52.5,27.75,23.25,8.75,20.0,26.25,10.5,29.75,21.0,7.5,14.75,3.25,21.5,"MIN",98.5,73.25,32.5,15.75,5.25,17.75,23.25,14.5,31.75,19.75,8.75,15.5,4.25,20.25,1
"MIL",90.66666,69.33333,30.66666,19.0,5.666666,12.33333,17.33333,16.33333,33.0,22.66666,9.0,16.0,6.0,23.66666,"MEM",90.6,64.6,27.2,15.8,6.2,17.6,21.6,10.4,29.6,19.4,9.6,12.8,1.8,19.2,1
"SAS",98.0,52.0,26.66666,21.0,8.0,20.66666,27.66666,12.33333,33.33333,21.0,5.333333,19.0,6.333333,17.33333,"NOP",90.5,63.0,28.5,22.5,6.0,15.5,21.5,10.0,29.5,18.0,8.0,11.5,6.0,25.0,1
"BKN",105.25,60.25,30.25,20.5,9.25,17.0,21.25,9.25,33.5,20.75,8.25,14.0,4.75,22.0,"ORL",90.25,68.75,31.75,15.0,5.25,11.0,15.75,12.25,34.25,19.25,7.25,17.5,5.0,22.75,1
"DAL",111.3333,58.33333,31.66666,25.0,10.33333,17.0,22.33333,11.66666,28.66666,23.66666,7.0,13.0,7.0,15.66666,"MIA",102.6666,55.66666,29.33333,23.0,8.333333,19.0,26.66666,7.0,29.33333,27.66666,9.666666,12.33333,2.333333,22.66666,1
"DET",95.5,61.25,27.0,21.5,7.25,19.75,29.25,14.75,32.0,18.75,5.25,11.0,3.5,19.25,"UTA",100.0,51.66666,25.0,25.66666,10.0,20.0,25.66666,11.0,31.0,22.0,5.666666,14.66666,1.333333,19.66666,0
"LAL",103.5,67.0,31.25,15.75,5.5,24.5,32.5,11.5,29.25,21.0,6.75,12.0,3.75,28.75,"CHA",92.0,59.66666,30.0,16.66666,5.0,17.0,23.0,8.666666,28.33333,19.33333,6.0,11.66666,1.0,16.33333,1
"OKC",97.33333,58.0,28.66666,21.0,8.0,16.0,23.0,9.0,32.66666,18.66666,5.333333,14.66666,4.333333,20.0,"SAC",103.75,65.25,32.25,14.75,3.5,28.75,35.25,11.25,37.0,20.25,7.25,14.75,5.5,25.25,0
"PHX",104.6,56.6,28.0,26.4,9.6,19.8,24.6,8.8,32.4,17.4,6.8,14.4,4.2,23.6,"GSW",95.75,53.5,27.25,24.5,8.0,17.25,22.75,8.0,35.75,20.25,10.75,22.75,7.5,23.25,1
"POR",104.2,57.8,28.8,28.4,10.8,14.2,18.8,13.4,36.6,23.2,6.0,13.4,6.4,20.0,"DEN",100.0,62.0,29.0,22.33333,7.0,21.0,27.0,12.0,30.66666,19.0,4.333333,15.33333,7.333333,28.33333,1
"TOR",108.0,57.75,28.75,24.0,8.0,26.5,31.75,10.5,33.25,22.75,9.0,13.0,5.75,22.5,"PHI",86.66666,61.33333,26.0,26.0,7.0,13.66666,23.33333,12.66666,25.66666,18.66666,10.0,14.66666,5.333333,23.33333,1
"CHI",102.25,65.25,30.5,21.0,8.75,15.0,19.75,10.25,33.0,24.0,5.25,12.25,8.25,20.25,"DET",87.0,64.66666,27.66666,20.33333,6.666666,11.66666,19.0,10.33333,35.33333,18.0,4.0,14.0,5.333333,24.0,1
"CLE",104.0,50.0,25.0,25.5,11.0,21.0,25.0,11.5,27.5,24.0,4.0,14.0,3.5,14.0,"NOP",97.33333,64.0,28.66666,24.0,8.0,16.0,21.0,11.33333,28.33333,22.33333,8.0,9.333333,5.666666,23.33333,1
"IND",92.0,58.2,27.8,21.8,7.2,14.8,21.2,12.2,32.8,16.4,4.4,15.4,6.2,19.8,"UTA",96.5,52.0,25.25,24.5,9.0,19.0,24.5,9.5,31.25,21.0,5.5,13.75,2.5,19.25,0
"LAC",96.6,58.6,29.0,23.6,7.2,17.0,22.0,9.2,27.6,22.2,8.0,10.2,5.8,21.6,"SAS",86.33333,62.33333,28.0,21.33333,4.0,18.33333,23.0,9.0,32.66666,19.0,8.666666,11.33333,2.666666,22.0,1
"NYK",86.0,63.25,27.75,18.5,6.25,11.75,16.25,12.0,27.0,20.25,5.75,14.0,2.75,24.25,"ATL",101.0,57.25,26.0,26.75,11.0,16.0,20.5,9.0,29.75,25.0,8.75,16.0,4.75,24.5,0
"DAL",110.0,57.0,30.75,25.5,10.25,17.75,22.75,11.0,27.5,23.5,7.25,12.5,7.25,19.0,"SAC",102.6,62.8,30.4,15.6,4.6,28.0,34.6,11.4,35.8,19.6,6.8,15.8,4.6,26.6,1
"GSW",116.0,53.0,31.33333,22.66666,11.0,20.33333,22.66666,5.666666,34.33333,27.33333,7.333333,20.66666,3.666666,21.33333,"SAS",93.0,63.75,30.0,22.25,5.5,16.5,21.0,8.75,31.5,21.25,8.75,10.5,2.25,21.25,1
"MEM",101.6666,65.33333,34.33333,13.33333,4.0,21.0,27.66666,10.33333,30.66666,20.33333,7.666666,13.66666,4.333333,21.0,"LAL",101.6666,70.66666,34.66666,16.33333,5.0,17.33333,22.33333,14.66666,23.0,21.0,8.666666,16.0,4.0,22.33333,0
"MIL",89.25,68.5,30.5,18.0,5.0,13.25,19.0,15.75,34.0,21.5,8.0,16.0,6.0,23.25,"OKC",86.0,55.8,25.6,20.2,5.6,18.0,25.0,11.2,33.0,18.8,5.4,17.2,3.6,24.2,1
