"HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","WIN"
"ORL",96.625,64.375,30.875,18.0,6.5,15.375,21.5,10.375,33.0,19.875,6.125,14.625,3.5,21.125,"WAS",95.66666,65.22222,31.0,16.66666,6.111111,15.33333,22.0,11.44444,31.33333,23.11111,6.888888,13.88888,4.333333,23.22222,1
"SAS",104.7777,56.0,30.22222,20.66666,8.444444,19.0,24.33333,8.555555,35.11111,24.55555,7.0,14.88888,6.666666,17.44444,"NYK",96.08333,60.0,28.91666,19.83333,8.166666,13.75,17.83333,9.833333,27.83333,23.25,5.916666,14.41666,4.250000,23.83333,1
"OKC",94.81818,60.18181,28.72727,22.90909,7.181818,15.81818,21.63636,11.81818,34.27272,19.09090,7.272727,14.36363,7.272727,24.36363,"CLE",100.5,61.8,28.9,21.6,7.0,21.7,27.9,11.9,31.1,19.4,7.3,13.0,3.5,18.9,0
"SAC",100.8333,66.41666,32.16666,12.41666,3.666666,25.5,33.5,11.25,32.25,19.83333,6.416666,15.5,3.083333,22.41666,"HOU",103.2727,47.0,23.36363,33.90909,12.54545,18.90909,25.81818,12.27272,30.27272,20.63636,7.636363,16.36363,4.545454,24.18181,0
"ATL",102.6153,55.53846,29.0,24.23076,8.999999,17.61538,22.61538,8.692307,32.07692,26.30769,8.615384,12.84615,4.615384,16.61538,"ORL",92.94117,61.11764,29.11764,18.35294,6.941176,13.88235,18.88235,8.647058,32.58823,18.88235,6.588235,14.70588,3.705882,21.17647,1
"BOS",104.2307,65.30769,32.69230,22.30769,7.615384,16.0,20.99999,10.46153,33.30769,25.15384,7.307692,14.38461,3.461538,21.46153,"NYK",96.46153,60.38461,29.30769,19.53846,8.0,13.84615,17.84615,9.923076,27.92307,23.46153,6.461538,14.30769,4.307692,23.53846,1
"BKN",95.63636,61.54545,29.45454,20.54545,7.090909,15.45454,21.54545,9.636363,33.45454,20.81818,7.909090,14.0,3.727272,20.09090,"PHI",83.36363,55.36363,23.72727,25.27272,6.909090,15.18181,24.27272,11.54545,30.27272,17.54545,10.0,18.36363,5.363636,22.09090,1
"CHI",105.5555,66.22222,32.11111,20.55555,7.444444,19.0,24.77777,12.44444,33.44444,23.88888,5.444444,13.77777,7.0,19.33333,"POR",103.0,59.45454,29.27272,26.09090,9.727272,15.27272,18.90909,11.0,33.27272,23.45454,5.454545,13.0,5.818181,19.36363,1
"MEM",107.0833,67.83333,34.33333,14.16666,5.833333,20.91666,26.08333,10.08333,32.33333,22.08333,7.166666,12.16666,4.5,19.5,"CHA",92.7,65.6,29.6,17.4,5.9,15.8,21.4,9.9,29.8,18.1,5.9,10.9,3.3,17.8,1
"MIN",96.16666,71.91666,32.25,13.08333,4.0,19.66666,27.41666,13.25,28.33333,21.25,10.58333,14.41666,4.75,20.41666,"OKC",94.5,57.66666,27.83333,21.91666,7.0,17.83333,23.83333,11.33333,32.58333,20.08333,5.916666,15.16666,4.5,23.58333,1
"NOP",108.5555,65.88888,34.55555,18.88888,7.0,18.44444,26.33333,12.22222,32.77777,23.22222,7.444444,11.22222,8.111111,20.22222,"CLE",101.7272,62.27272,29.54545,21.63636,7.090909,21.36363,27.45454,11.81818,30.90909,19.63636,7.181818,12.36363,3.727272,18.90909,1
"PHX",104.6666,56.16666,28.25,27.25,10.25,17.41666,21.58333,10.0,31.41666,19.16666,7.666666,15.75,4.583333,22.16666,"DET",93.0,63.1,28.4,22.3,7.3,14.3,20.8,11.1,34.6,17.8,6.0,14.0,5.1,21.5,1
"SAS",105.3,56.3,30.2,21.7,8.8,18.5,24.0,8.9,35.1,24.4,7.3,15.3,6.5,17.3,"LAL",103.0909,68.72727,32.54545,18.72727,7.090909,16.72727,22.18181,12.45454,28.63636,20.45454,7.454545,13.09090,4.0,20.90909,1
"TOR",105.3571,59.28571,29.0,24.78571,9.0,20.35714,25.5,11.14285,32.78571,21.07142,7.5,12.42857,4.785714,21.21428,"IND",95.66666,62.58333,28.16666,22.5,7.75,16.08333,20.91666,10.75,34.58333,20.50000,5.333333,13.75,4.750000,22.83333,1
"UTA",97.76923,59.15384,30.30769,20.38461,6.615384,17.30769,23.0,11.84615,30.76923,19.53846,5.923076,13.69230,5.846153,18.69230,"MIA",94.92307,53.69230,27.46153,21.61538,7.692307,16.92307,23.84615,8.076923,26.53846,21.69230,8.615384,12.69230,2.923076,19.69230,1
"WAS",104.6923,67.53846,33.69230,15.76923,6.461538,17.92307,23.15384,10.23076,34.07692,27.84615,8.769230,14.76923,5.538461,21.61538,"LAC",106.0909,54.09090,29.09090,26.0,10.09090,17.63636,22.09090,7.090909,31.36363,22.90909,7.363636,12.0,3.363636,20.90909,0
"CHA",95.84615,67.76923,31.53846,18.38461,5.230769,17.07692,23.15384,9.0,34.0,22.23076,4.692307,10.07692,5.615384,19.84615,"BKN",97.18181,61.45454,29.63636,20.09090,6.727272,17.72727,21.81818,10.45454,31.90909,20.18181,6.090909,14.45454,4.545454,21.27272,0
"DAL",114.1538,58.38461,33.46153,26.61538,9.230769,19.53846,25.61538,11.38461,30.07692,23.76923,8.076923,11.46153,5.461538,19.69230,"GSW",104.9230,58.15384,29.53846,25.84615,9.307692,17.92307,23.07692,10.23076,36.0,24.15384,8.846153,16.23076,7.153846,22.15384,1
"HOU",96.25,47.0,22.33333,34.83333,11.33333,17.58333,25.91666,12.75,33.16666,18.66666,10.41666,17.0,5.666666,22.91666,"DEN",99.92307,60.84615,28.69230,27.53846,8.384615,17.38461,24.61538,13.07692,31.76923,20.76923,7.307692,14.61538,4.846153,24.53846,0
"IND",90.75,62.25,28.58333,21.16666,6.583333,13.83333,20.08333,12.5,33.5,18.58333,5.25,13.91666,4.5,18.83333,"POR",102.3333,60.58333,29.75,25.33333,9.333333,14.83333,18.33333,11.0,33.41666,23.25,5.75,12.91666,5.75,19.5,0
"MIL",100.0,64.27272,30.90909,16.63636,6.636363,18.27272,23.54545,12.81818,31.18181,22.90909,8.090909,16.09090,4.272727,22.36363,"LAC",106.0833,54.75,28.75,26.25,10.41666,17.33333,21.83333,7.333333,30.83333,23.0,7.416666,12.0,3.333333,21.16666,0
"ORL",97.0,63.11111,30.44444,18.33333,6.888888,15.44444,21.44444,10.0,32.55555,20.55555,6.111111,14.66666,3.777777,20.44444,"ATL",102.1,56.6,27.8,26.1,9.6,17.7,22.7,8.5,31.4,24.1,9.3,14.4,4.9,21.8,0
"PHI",98.83333,58.33333,28.41666,23.5,7.916666,18.25,26.0,10.91666,29.75,23.66666,10.41666,16.83333,4.583333,23.16666,"MEM",97.18181,65.27272,31.27272,16.0,5.545454,18.0,24.27272,10.36363,31.18181,22.72727,9.181818,13.36363,3.454545,19.27272,1
"SAC",100.0,66.23076,31.38461,13.69230,4.230769,24.53846,32.38461,12.07692,32.30769,19.92307,6.230769,15.53846,3.384615,22.07692,"DET",93.18181,62.72727,28.45454,22.09090,7.181818,14.72727,21.0,10.81818,34.63636,18.18181,6.363636,13.90909,5.454545,21.18181,1
"DEN",105.8181,62.72727,30.45454,22.63636,8.181818,20.36363,26.27272,12.81818,33.0,21.36363,7.272727,13.63636,4.818181,24.0,"SAS",98.85714,61.07142,28.85714,22.71428,7.999999,17.14285,21.85714,10.42857,33.64285,24.0,8.071428,12.64285,5.357142,20.57142,1
"MIA",93.36363,50.72727,24.81818,22.54545,8.363636,18.63636,24.72727,8.363636,28.45454,18.54545,8.636363,13.90909,4.181818,20.27272,"CHI",101.0714,55.85714,27.71428,21.21428,7.785714,22.28571,29.14285,9.642857,34.42857,21.5,6.428571,14.78571,5.0,20.28571,0
"MIN",96.0,72.53846,32.46153,12.84615,3.923076,19.30769,26.84615,13.30769,28.61538,21.53846,10.23076,14.38461,4.615384,20.46153,"LAL",102.8333,68.33333,32.25,18.58333,6.916666,17.58333,23.16666,12.33333,29.08333,20.58333,7.666666,12.91666,4.083333,20.58333,0
"NOP",109.9,66.7,35.0,19.7,7.1,18.6,26.2,12.2,32.7,23.1,8.1,11.4,7.9,20.9,"GSW",106.5714,58.42857,29.78571,25.71428,9.428571,18.71428,23.92857,10.07142,36.14285,24.0,8.714285,16.42857,7.285714,21.92857,1
"NYK",91.30769,60.69230,28.69230,20.15384,6.615384,14.07692,17.61538,11.23076,29.30769,18.53846,7.307692,14.30769,3.076923,23.61538,"TOR",111.4,61.1,31.4,23.1,8.4,23.4,28.9,10.5,26.9,19.8,7.7,11.1,4.3,23.9,0
"OKC",96.25,60.33333,29.25,22.5,6.916666,17.0,22.66666,12.0,35.5,19.16666,7.25,14.66666,7.083333,23.91666,"PHX",104.7692,61.0,29.53846,27.30769,9.769230,16.38461,20.15384,10.46153,31.61538,22.69230,8.769230,13.84615,4.0,24.46153,0
"WAS",103.8571,67.78571,33.92857,15.57142,6.285714,17.14285,22.35714,10.21428,33.85714,27.28571,8.928571,14.78571,5.785714,21.57142,"UTA",93.09090,56.36363,27.63636,20.54545,6.636363,17.90909,25.18181,10.18181,29.18181,20.81818,7.363636,14.81818,4.545454,19.18181,1
"ATL",101.9285,56.0,29.0,24.0,8.857142,17.35714,22.21428,8.428571,32.28571,26.28571,8.714285,12.57142,4.785714,16.64285,"CHI",100.0666,56.4,27.8,21.73333,7.666666,21.46666,28.13333,10.0,34.93333,21.26666,6.2,14.73333,5.066666,20.06666,1
"CLE",104.6666,57.0,30.0,22.33333,8.666666,18.66666,24.66666,10.0,30.41666,25.16666,7.333333,13.33333,5.0,17.91666,"CHA",92.27272,65.72727,29.90909,17.27272,5.818181,15.0,20.72727,9.454545,30.0,18.45454,5.727272,10.81818,3.454545,17.45454,1
"IND",92.23076,62.53846,28.92307,20.84615,6.615384,14.53846,20.61538,12.38461,34.15384,18.76923,5.384615,13.84615,4.307692,18.92307,"LAL",101.9230,67.84615,31.23076,19.15384,7.153846,18.0,23.61538,12.23076,28.92307,20.07692,7.846153,12.61538,4.153846,20.53846,0
"LAC",107.25,54.16666,28.66666,26.83333,10.16666,19.41666,25.83333,8.5,32.25,26.33333,7.166666,12.16666,6.083333,21.75,"DET",93.0,62.16666,28.33333,22.5,7.25,14.58333,21.08333,11.33333,33.74999,18.58333,6.666666,14.16666,5.249999,21.00000,1
"PHI",97.92307,58.84615,28.46153,23.84615,7.615384,18.15384,25.61538,11.30769,29.92307,23.30769,10.46153,17.23076,4.923076,23.53846,"BOS",104.3333,66.22222,33.44444,23.88888,7.333333,15.44444,20.66666,11.55555,33.44444,26.66666,9.777777,15.55555,4.555555,21.88888,0
"PHX",103.8461,54.69230,27.46153,28.07692,10.38461,17.76923,22.0,10.46153,31.0,19.0,8.0,16.07692,4.615384,22.30769,"MIL",98.5,62.57142,31.42857,19.64285,6.214285,17.0,21.42857,9.357142,29.0,22.0,10.07142,16.0,4.071428,23.35714,1
"POR",102.2307,60.30769,29.23076,25.23076,9.230769,16.07692,20.76923,12.07692,36.15384,23.07692,6.769230,13.53846,5.153846,19.0,"SAS",98.6,61.46666,29.2,21.93333,7.733333,17.0,21.86666,10.33333,33.59999,23.66666,7.866666,12.8,5.266666,20.6,1
"TOR",104.6666,58.86666,28.8,25.13333,9.133333,19.66666,24.8,11.2,32.4,21.33333,7.533333,12.33333,4.733333,20.73333,"ORL",92.33333,61.0,29.27777,18.16666,6.777777,13.44444,18.27777,8.499999,32.44444,18.55555,6.5,14.94444,3.888888,21.05555,1
"BKN",95.25,60.5,28.83333,21.16666,7.166666,16.08333,22.41666,9.75,32.83333,21.16666,8.0,14.25,3.583333,20.58333,"MIA",94.92857,53.28571,27.21428,21.78571,7.785714,17.14285,24.0,8.0,27.07142,21.57142,8.642857,13.07142,2.857142,19.92857,1
"MEM",106.9230,68.61538,34.53846,14.15384,5.769230,20.53846,25.53846,10.07692,32.76923,22.23076,7.307692,12.15384,4.461538,19.23076,"GSW",106.0,58.8,29.8,26.06666,9.4,18.2,23.13333,10.4,36.0,23.6,8.733333,16.26666,7.533333,21.73333,1
"NOP",110.7272,66.36363,35.36363,19.36363,7.181818,18.45454,25.45454,11.90909,31.81818,23.18181,8.181818,11.81818,8.0,20.81818,"UTA",94.58333,57.91666,28.66666,20.08333,6.5,17.75,24.66666,10.83333,28.33333,20.66666,7.25,14.83333,4.750000,19.08333,1
"NYK",91.0,60.85714,28.92857,20.21428,6.5,13.64285,17.07142,11.14285,29.0,18.85714,7.571428,14.14285,3.214285,22.85714,"DAL",105.5384,58.92307,29.92307,28.46153,10.07692,15.46153,19.84615,11.30769,31.0,23.07692,7.615384,11.76923,5.153846,20.69230,0
"SAC",99.42857,66.21428,31.35714,14.0,4.285714,23.85714,31.28571,12.14285,32.5,20.0,6.285714,15.64285,3.357142,22.0,"OKC",95.23076,58.38461,28.38461,21.76923,6.923076,17.69230,23.84615,11.38461,32.30769,19.92307,6.153846,14.76923,4.846153,23.30769,1
"WAS",104.2,67.86666,33.86666,15.66666,6.533333,16.86666,22.06666,10.2,34.00000,27.4,8.8,14.46666,5.933333,21.8,"MIN",101.0909,70.18181,32.63636,14.27272,4.909090,21.09090,28.54545,11.18181,29.09090,21.81818,8.0,14.54545,3.363636,21.63636,1
"BOS",104.5714,65.0,33.0,22.07142,7.571428,15.85714,20.78571,10.21428,33.42857,25.14285,7.428571,14.35714,3.785714,21.07142,"ORL",92.31578,61.26315,29.42105,18.21052,6.684210,13.42105,18.10526,8.578947,32.10526,18.47368,6.578947,14.78947,3.736842,20.78947,1
"CHA",96.57142,67.35714,31.42857,18.78571,5.571428,17.0,23.07142,8.928571,33.5,22.21428,4.785714,9.785714,5.428571,19.57142,"PHX",105.2142,60.71428,29.85714,27.14285,9.714285,16.35714,20.21428,10.28571,31.85714,22.64285,8.428571,13.42857,4.214285,23.78571,0
"CLE",104.1538,56.61538,29.92307,22.92307,8.615384,18.46153,24.38461,10.0,29.84615,25.07692,7.0,12.92307,4.615384,17.84615,"ATL",104.3636,55.81818,28.27272,26.27272,10.18181,17.27272,22.09090,8.272727,31.63636,25.18181,8.727272,13.90909,4.909090,21.36363,0
"DEN",106.25,63.25,30.16666,23.25,8.583333,20.16666,26.0,13.08333,33.16666,22.08333,7.333333,13.75,4.5,25.0,"HOU",104.25,47.83333,23.66666,33.41666,12.16666,20.41666,27.66666,12.08333,31.5,20.33333,7.583333,16.33333,4.583333,24.08333,1
"DET",94.5,61.35714,26.28571,23.57142,7.928571,18.14285,25.85714,13.42857,30.57142,20.92857,7.142857,12.57142,3.642857,18.85714,"DAL",106.3571,58.78571,29.92857,28.0,10.07142,16.28571,20.92857,11.14285,31.35714,23.5,7.714285,11.92857,5.071428,20.28571,0
"LAC",106.8461,54.61538,28.61538,26.15384,9.846153,20.07692,27.30769,8.923076,32.61538,25.84615,7.153846,12.15384,5.923076,21.23076,"IND",96.0,63.23076,28.76923,22.23076,7.461538,16.07692,21.07692,11.0,34.15384,21.00000,5.384615,13.61538,4.692307,23.38461,1
"MIA",92.83333,50.91666,24.66666,22.08333,8.0,19.5,26.0,8.333333,28.0,17.83333,8.75,13.66666,3.833333,20.58333,"UTA",95.38461,56.61538,28.07692,20.46153,7.076923,18.0,24.61538,10.46153,28.61538,20.84615,7.0,15.07692,4.769230,19.61538,0
"POR",102.3571,60.57142,29.57142,25.07142,9.071428,16.0,21.35714,12.35714,36.14285,23.21428,6.571428,13.57142,5.0,19.0,"MIL",98.4,62.26666,31.33333,19.6,6.266666,16.93333,21.46666,9.066666,28.86666,21.6,9.933333,15.8,3.800000,23.46666,1
"SAS",106.2727,57.54545,29.81818,22.90909,9.545454,18.0,24.27272,9.818181,35.63636,25.0,7.181818,15.18181,6.909090,17.18181,"MEM",98.83333,66.49999,31.83333,16.91666,5.916666,17.41666,23.41666,10.58333,32.33333,23.25,9.416666,13.25,3.666666,19.91666,1
"TOR",104.6875,58.9375,28.9375,24.8125,9.1875,19.25,24.4375,11.1875,32.3125,21.5,7.4375,12.125,4.687500,20.75,"BKN",96.5,60.83333,29.33333,20.66666,6.916666,17.08333,21.83333,10.75,31.66666,20.16666,5.833333,14.33333,4.833333,20.83333,1
"CHI",105.3,64.8,31.1,20.8,7.9,19.4,25.3,12.3,32.2,23.8,5.8,13.5,7.1,19.1,"NYK",96.5,61.28571,29.5,18.78571,7.857142,13.92857,17.92857,10.21428,27.85714,23.14285,6.5,14.42857,4.428571,23.57142,1
"GSW",109.7,58.9,32.8,25.4,9.9,14.4,18.7,9.5,34.8,27.9,8.3,14.7,5.4,17.7,"OKC",96.21428,58.57142,28.5,22.0,7.214285,17.57142,23.85714,11.14285,32.5,19.71428,6.071428,14.78571,4.785714,22.71428,1
"HOU",95.76923,48.07692,22.69230,34.07692,10.92307,17.61538,25.69230,12.69230,33.0,18.69230,10.23076,16.53846,5.538461,22.53846,"NOP",97.14285,65.0,30.78571,20.07142,6.5,16.07142,21.28571,11.78571,30.5,20.78571,7.0,11.14285,4.5,19.92857,0
"SAC",99.93333,65.33333,31.4,14.0,4.4,23.93333,31.4,11.6,32.4,20.26666,6.2,16.0,3.133333,22.06666,"MIL",99.0,61.625,30.875,19.8125,6.6875,17.1875,21.8125,8.8125,28.4375,21.75,9.75,15.8125,3.687500,23.625,1
"BOS",105.2,64.8,33.46666,22.13333,7.6,15.46666,20.33333,10.33333,33.26666,25.4,7.533333,14.26666,3.933333,21.0,"MIN",100.8333,71.08333,32.91666,14.08333,5.0,20.0,27.5,11.5,28.5,21.91666,8.0,14.41666,3.5,20.91666,1
"CLE",103.5,56.35714,29.35714,23.0,8.642857,18.85714,24.71428,10.07142,30.07142,24.85714,7.0,13.14285,4.571428,17.71428,"BKN",96.07692,60.30769,29.23076,20.92307,7.076923,16.38461,21.07692,10.23076,31.76923,20.38461,6.0,14.46153,5.076923,21.23076,1
"DEN",106.4615,62.30769,29.92307,23.69230,8.769230,20.30769,26.30769,12.76923,33.0,22.69230,7.230769,14.30769,4.230769,24.92307,"LAC",106.0769,55.69230,29.30769,25.61538,9.846153,17.92307,22.69230,7.769230,30.46153,22.84615,7.923076,11.92307,3.384615,21.23076,1
"DET",94.86666,61.86666,26.73333,23.66666,7.933333,17.60000,25.13333,13.46666,30.86666,21.4,7.0,12.46666,3.866666,18.93333,"TOR",111.2727,61.09090,31.63636,23.45454,8.363636,22.90909,28.45454,10.36363,27.90909,20.18181,7.363636,10.81818,4.363636,23.18181,0
"LAL",102.4615,67.92307,31.84615,19.07692,5.846153,21.23076,28.69230,11.38461,31.69230,21.0,6.923076,10.61538,4.923076,23.30769,"OKC",96.73333,59.0,28.53333,21.93333,7.266666,17.86666,24.2,11.13333,32.4,19.8,6.0,14.26666,5.0,22.26666,1
"MEM",106.2142,69.5,34.57142,14.07142,5.5,20.57142,25.42857,10.35714,32.64285,21.5,7.071428,11.57142,4.571428,19.64285,"CHI",100.25,55.8125,27.4375,22.0,7.8125,21.9375,28.4375,9.875,35.4375,21.0,5.9375,14.375,4.9375,19.9375,1
"MIA",93.61538,51.30769,25.15384,21.84615,8.076923,19.07692,25.46153,8.076923,28.07692,18.15384,8.615384,13.76923,3.769230,21.07692,"WAS",96.6,65.2,31.5,16.4,5.8,16.2,23.1,11.6,30.5,23.2,6.8,13.4,4.2,22.6,0
"ORL",96.7,62.9,29.9,18.7,7.4,14.7,20.5,9.9,31.8,21.3,6.1,14.4,3.6,20.6,"UTA",95.78571,57.0,28.57142,19.78571,6.857142,18.07142,24.57142,10.21428,29.07142,21.07142,6.785714,15.07142,4.785714,19.21428,1
"PHI",97.42857,57.85714,27.85714,24.0,7.928571,17.92857,25.0,10.64285,30.14285,23.28571,10.14285,17.71428,5.428571,23.07142,"CHA",93.66666,66.41666,30.16666,17.83333,6.166666,14.83333,20.41666,10.08333,29.83333,19.0,6.083333,11.08333,3.416666,17.41666,1
"SAS",107.3333,60.16666,30.41666,22.66666,9.416666,18.25,24.41666,10.41666,36.24999,24.91666,7.25,15.25,6.666666,17.58333,"POR",104.3846,61.69230,30.07692,26.07692,9.615384,15.38461,18.69230,11.30769,34.15384,22.84615,6.230769,13.0,5.692307,19.84615,1
"CHA",97.06666,67.2,31.53333,19.0,5.8,16.6,22.6,9.333333,33.53333,22.13333,5.0,9.466666,5.266666,19.2,"UTA",95.13333,56.8,28.33333,20.53333,6.933333,17.66666,23.93333,10.4,28.86666,20.86666,6.533333,14.66666,4.800000,18.93333,1
"DAL",113.0714,58.5,33.07142,26.57142,9.214285,19.28571,25.21428,11.5,29.85714,23.35714,8.214285,11.5,5.285714,20.0,"SAS",98.25,61.625,29.1875,21.375,7.437499,17.5625,22.125,10.4375,33.74999,22.8125,7.75,13.1875,5.0625,20.5625,1
"DEN",104.2857,62.57142,29.78571,23.14285,8.285714,19.85714,25.78571,12.5,33.5,22.07142,7.214285,14.42857,4.428571,24.57142,"IND",94.35714,63.35714,28.14285,22.28571,7.428571,15.78571,20.78571,11.0,34.5,20.71428,5.357142,13.64285,4.500000,23.42857,1
"HOU",95.85714,47.71428,22.42857,34.71428,11.21428,17.35714,25.14285,12.85714,32.64285,19.28571,10.07142,16.50000,5.428571,22.71428,"ATL",104.3333,55.16666,28.25,26.25,10.16666,17.33333,22.25,7.916666,31.75,25.25,8.583333,14.0,5.25,20.83333,0
"LAC",106.7857,54.64285,28.35714,26.14285,10.0,20.07142,27.28571,9.071428,32.42857,26.07142,7.357142,12.14285,5.785714,21.0,"MIL",99.17647,61.35294,31.11764,20.05882,6.764705,16.64705,21.41176,8.882352,28.88235,22.17647,9.529411,15.94117,3.529411,23.76470,1
"NOP",108.8333,66.66666,34.66666,19.0,6.833333,19.0,25.66666,12.58333,31.5,22.5,8.083333,12.16666,7.833333,19.99999,"POR",105.0714,61.92857,30.71428,26.0,9.571428,14.92857,18.42857,11.21428,34.21428,23.0,6.571428,13.0,5.5,20.21428,1
"NYK",90.93333,61.2,28.86666,20.33333,6.533333,13.6,17.00000,11.53333,28.93333,18.73333,7.8,14.13333,3.266666,22.73333,"PHX",104.8,60.2,29.53333,27.0,9.733333,16.53333,20.4,10.4,31.8,22.13333,8.533333,13.46666,4.133333,23.0,0
"BKN",96.38461,60.15384,29.07692,21.07692,7.230769,16.53846,22.92307,9.230769,32.92307,21.76923,8.076923,14.30769,3.615384,20.38461,"DET",93.92307,62.30769,28.53846,22.84615,7.384615,14.69230,21.46153,11.84615,33.61538,19.15384,6.923076,14.07692,5.307692,21.07692,1
"CLE",103.6,56.73333,30.0,22.4,8.533333,18.0,23.73333,9.666666,30.0,25.46666,6.666666,13.2,4.533333,17.8,"MEM",98.23076,66.76923,32.30769,16.84615,5.538461,17.0,22.76923,10.69230,31.84615,23.38461,9.307692,12.92307,3.615384,19.61538,1
"MIA",94.07142,51.71428,25.57142,21.78571,7.928571,19.14285,25.5,7.928571,28.35714,18.14285,8.642857,13.35714,3.714285,20.57142,"BOS",102.3,65.6,32.8,23.8,7.2,15.1,20.1,11.8,32.9,26.2,9.4,15.5,4.5,21.5,0
"MIN",96.0,72.07142,32.35714,12.71428,4.0,19.28571,26.64285,13.0,29.0,21.64285,10.07142,14.5,4.357142,20.35714,"IND",94.73333,63.46666,28.66666,22.06666,7.333333,15.4,20.33333,10.8,34.06666,21.00000,5.6,13.6,4.600000,23.0,1
"OKC",96.46153,60.53846,29.53846,22.30769,6.769230,17.07692,22.76923,12.30769,35.15384,19.0,7.230769,14.76923,6.923076,23.07692,"NOP",97.4,65.33333,31.13333,20.06666,6.533333,15.53333,20.53333,11.66666,30.4,21.6,7.266666,11.0,4.666666,19.73333,0
"ORL",95.90909,62.72727,29.72727,19.09090,7.363636,14.36363,20.45454,10.18181,31.63636,21.27272,6.545454,14.36363,3.818181,20.72727,"PHI",84.41666,55.66666,24.16666,25.08333,6.833333,15.58333,24.33333,11.83333,30.83333,17.75,9.833333,18.41666,5.416666,21.83333,1
"SAC",100.4375,64.75,31.375,14.5625,4.5625,24.0,31.6875,11.5,32.5,19.9375,6.3125,15.875,3.375,22.25,"LAL",101.8571,67.35714,30.64285,19.64285,7.357142,18.5,24.07142,12.64285,28.92857,19.64285,7.857142,12.85714,4.000000,21.14285,0
"TOR",105.4705,58.58823,28.88235,25.29411,9.470588,19.29411,24.58823,11.47058,32.0,21.64705,7.411764,12.0,4.647058,20.94117,"NYK",97.26666,61.73333,29.86666,18.46666,7.666666,14.53333,18.46666,10.06666,27.6,23.4,6.466666,14.2,4.466666,23.46666,1
"WAS",103.4375,67.9375,33.6875,15.5625,6.3125,17.125,22.5,10.5,33.56250,26.375,8.9375,14.25,5.8125,21.875,"PHX",104.75,60.25,29.8125,26.375,9.5,16.62499,20.6875,10.5,31.875,21.5625,8.1875,13.6875,4.375,23.0625,0
"CHI",107.4545,64.54545,31.36363,20.0,7.727272,21.54545,27.27272,12.27272,31.90909,23.45454,5.636363,13.63636,7.636363,19.18181,"TOR",112.0,61.83333,31.91666,24.0,8.416666,22.91666,28.75,11.0,27.16666,19.75000,7.583333,10.5,4.25,23.75,0
"CHA",97.875,66.8125,31.75,19.0,5.9375,16.5625,22.6875,9.125,33.8125,22.1875,5.0625,9.625,5.3125,19.3125,"DEN",98.64285,61.07142,28.71428,26.85714,7.928571,17.42857,24.57142,12.78571,31.5,20.07142,7.214285,14.5,4.785714,24.21428,0
"DAL",112.3333,58.73333,32.73333,26.66666,9.333333,18.86666,24.86666,11.6,30.13333,23.33333,8.466666,11.73333,5.266666,20.2,"ATL",104.3846,55.69230,28.61538,25.69230,9.923076,17.38461,22.61538,7.769230,32.15384,25.30769,8.384615,14.23076,5.307692,20.84615,1
"GSW",111.3636,59.54545,33.45454,25.36363,9.818181,15.0,19.18181,9.545454,34.81818,28.63636,8.363636,14.45454,5.454545,17.81818,"SAC",102.5833,62.0,30.33333,15.75,5.75,24.66666,31.08333,10.58333,35.16666,19.91666,5.583333,15.25,4.499999,23.41666,1
"HOU",96.8,47.93333,22.8,34.8,11.33333,17.2,24.8,12.46666,32.80000,19.46666,10.33333,16.46666,5.266666,22.66666,"POR",104.4,61.06666,30.26666,26.06666,9.6,15.06666,18.4,10.8,33.93333,22.73333,6.733333,13.6,5.466666,20.4,0
"MEM",105.2,69.06666,34.33333,14.66666,5.6,19.73333,24.33333,10.0,32.4,21.53333,6.866666,11.06666,4.466666,19.53333,"UTA",95.25,56.75,28.125,20.4375,7.0625,17.8125,24.125,10.375,29.5,20.8125,6.125,14.4375,4.812500,18.6875,1
"SAS",108.6923,59.69230,30.84615,22.69230,9.692307,17.92307,24.23076,9.769230,35.84615,25.84615,7.153846,14.92307,6.307692,17.69230,"LAC",106.9285,56.14285,29.57142,25.5,9.857142,18.21428,23.14285,8.0,30.07142,22.85714,8.071428,11.78571,3.5,21.28571,1
"ATL",102.2666,55.8,28.53333,23.93333,9.066666,18.0,23.06666,8.466666,32.40000,26.4,8.533333,12.66666,4.666666,16.93333,"LAC",106.7333,56.6,29.33333,25.73333,9.933333,18.26666,23.46666,8.533333,30.4,23.06666,8.2,11.66666,3.6,21.4,0
"BKN",96.78571,60.71428,29.64285,21.21428,7.142857,16.07142,22.28571,9.428571,32.49999,21.71428,8.214285,13.92857,3.571428,20.28571,"DEN",98.46666,60.8,28.73333,26.73333,7.866666,17.4,24.4,12.86666,31.86666,19.73333,7.0,14.73333,4.733333,23.6,0
"CLE",104.9375,56.9375,30.125,22.5,8.75,18.4375,24.1875,9.8125,29.75,25.375,6.9375,13.4375,4.625,18.125,"MIN",101.0769,71.38461,33.07692,14.0,4.923076,20.15384,27.61538,11.84615,28.15384,22.15384,8.384615,14.69230,3.923076,21.07692,1
