"HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV,ABLK","APF"
"LAL",100.93548387096774,32.12903225806452,66.51612903225808,5.935483870967742,19.096774193548388,18.870967741935488,25.838709677419356,10.870967741935484,33.32258064516129,21.806451612903224,12.03225806451613,4.741935483870968,22.032258064516128,"LAL",97.53125,29.84375,67.53125,7.03125,18.84375,16.750000000000004,21.96875,12.125,31.46875,19.96875,7.625,12.8125,4.250000000000001,20.71875
"NOP",102.0,31.666666666666668,64.24242424242425,7.212121212121212,18.999999999999996,17.030303030303024,22.21212121212121,12.151515151515152,32.18181818181818,22.696969696969695,12.757575757575758,7.363636363636363,17.999999999999993,"NOP",97.46875,30.375,63.156249999999986,6.6875,19.40625,16.65625,21.78125,11.21875,31.5,20.84375,6.71875,12.65625,4.687499999999999,19.375
"SAS",105.83870967741936,30.29032258064516,59.483870967741936,9.32258064516129,23.580645161290324,17.290322580645157,23.129032258064516,9.774193548387096,33.96774193548387,25.193548387096776,14.0,5.709677419354839,18.32258064516129,"SAS",97.40625,29.4375,61.90625,7.406249999999999,22.156250000000004,16.3125,20.40625,10.09375,33.249999999999986,22.625,7.375,13.09375,5.218750000000001,20.4375
"BOS",101.65625,30.90625,64.03125,8.3125,24.4375,14.90625,19.5625,11.374999999999998,32.875000000000014,25.0,12.5625,3.90625,20.968749999999993,"BOS",99.93548387096774,30.612903225806452,63.6451612903226,7.838709677419355,24.451612903225808,15.193548387096774,20.29032258064516,11.290322580645162,32.096774193548384,23.548387096774192,8.67741935483871,14.161290322580646,3.5806451612903216,21.032258064516128
"CHA",94.84848484848484,29.90909090909091,66.18181818181817,5.878787878787879,19.121212121212118,17.393939393939394,23.96969696969697,9.93939393939394,34.363636363636374,21.272727272727273,10.636363636363635,6.636363636363637,18.999999999999996,"CHA",95.2,30.7,65.70000000000002,5.7,17.833333333333332,16.7,22.033333333333335,9.966666666666667,33.86666666666668,20.433333333333334,6.4,11.966666666666667,4.333333333333335,18.133333333333336
"DEN",102.61764705882354,29.441176470588236,62.205882352941174,8.058823529411764,24.38235294117647,19.558823529411764,26.147058823529413,12.558823529411764,32.85294117647059,22.029411764705884,13.823529411764707,4.61764705882353,22.764705882352942,"DEN",97.16129032258065,29.70967741935484,62.58064516129032,7.225806451612903,24.096774193548388,16.06451612903226,22.354838709677416,11.774193548387096,32.161290322580655,21.258064516129032,7.612903225806452,13.64516129032258,4.903225806451613,22.870967741935484
"IND",96.93548387096774,29.580645161290324,62.38709677419355,7.161290322580645,20.322580645161295,16.29032258064516,22.0,10.903225806451612,34.70967741935484,21.354838709677423,12.806451612903226,5.129032258064516,18.774193548387093,"IND",96.0,29.0625,62.34375,7.03125,21.46875,16.78125,21.3125,10.250000000000002,34.3125,21.65625,6.4375,14.15625,3.8750000000000013,22.46875
"MEM",101.12903225806451,33.35483870967743,69.0,5.193548387096774,14.96774193548387,18.838709677419356,23.741935483870968,10.64516129032258,33.61290322580647,21.387096774193548,12.32258064516129,4.806451612903226,18.93548387096774,"MEM",97.45454545454545,32.57575757575758,66.3333333333333,4.9393939393939394,15.333333333333332,17.484848484848484,23.060606060606062,10.0,31.21212121212121,22.393939393939394,9.606060606060604,13.181818181818182,4.0606060606060606,18.848484848484848
"MIA",95.96875,27.28125,54.46875,7.3125,20.812499999999996,19.46875,25.875,8.687500000000002,29.90625,19.125,14.21875,3.90625,20.8125,"MIA",93.125,28.1875,56.90625,6.65625,20.15625,16.781249999999996,22.90625,9.062500000000002,29.53125,21.031250000000004,7.625,13.1875,4.625,19.031250000000004
"NYK",91.41935483870968,28.483870967741936,61.806451612903224,6.967741935483871,20.93548387096774,13.548387096774194,17.70967741935484,11.06451612903226,29.322580645161292,19.838709677419356,13.290322580645162,3.6774193548387095,21.354838709677416,"NYK",92.875,28.53125,62.96875,6.84375,18.9375,15.28125,19.78125,10.468749999999998,29.875,22.5625,6.4375,13.59375,4.875000000000001,23.0
